BUSINESS_YEAR,STATE_CODE,ISSUER_ID,SOURCE_NAME,VERSION_NUMBER,IMPORT_DATE,STANDARD_COMPONENT_ID,PLAN_ID,BENEFIT_NAME,IS_EHB,IS_STATE_MANDATE,IS_COVERED,QUANTITY_LIMIT_ON_SVC,LIMIT_QUANTITY,LIMIT_UNIT,MINIMUM_STAY,EXCLUSIONS,EXPLANATION,EHB_VAR_REASON,IS_SUBJECTED_TO_DED_TIER_1,IS_SUBJECTED_TO_DED_TIER_2,IS_EXCLUDED_FROM_INN_MOOP,IS_EXCLUDED_FROM_OON_MOOP
2020,CT,76962,SERFF,1,1/27/2020 8:53,76962CT0010005,76962CT0010005-01,Reconstructive Surgery,Yes,,,,,,,,,,,,No,No
2020,CT,76962,SERFF,1,1/27/2020 8:53,76962CT0010005,76962CT0010005-01,Accidental Ingestion of a Controlled Drug,,,,,,,,,,Additional EHB Benefit,,,No,No
2020,CT,76962,SERFF,1,1/27/2020 8:53,76962CT0010005,76962CT0010005-01,Bone Marrow Testing,,,,,,,,,,Additional EHB Benefit,,,No,No
2020,CT,76962,SERFF,1,1/27/2020 8:53,76962CT0010005,76962CT0010005-01,Bones/Joints,,,,,,,,,,Additional EHB Benefit,,,No,No
2020,CT,76962,SERFF,1,1/27/2020 8:53,76962CT0010005,76962CT0010005-01,Developmental Needs of Children & Youth with Cancer,,,,,,,,,,Additional EHB Benefit,,,No,No
2020,CT,76962,SERFF,1,1/27/2020 8:53,76962CT0010005,76962CT0010005-01,Diabetes Care Management,,,,,,,,,,Additional EHB Benefit,,,No,No
2020,CT,76962,SERFF,1,1/27/2020 8:53,76962CT0010005,76962CT0010005-01,Early Intervention Services,,,,,,,,,,Additional EHB Benefit,,,No,No
2020,CT,76962,SERFF,1,1/27/2020 8:53,76962CT0010005,76962CT0010005-01,Inherited Metabolic Disorder - PKU,,,,,,,,,,Additional EHB Benefit,,,No,No
2020,CT,76962,SERFF,1,1/27/2020 8:53,76962CT0010005,76962CT0010005-01,Post-Mastectomy Care,,,,,,,,,,Additional EHB Benefit,,,No,No
2020,CT,76962,SERFF,1,1/27/2020 8:53,76962CT0010005,76962CT0010005-01,Treatment of Medical Complications of Alcoholism,,,,,,,,,,Additional EHB Benefit,,,No,No
